Valuation Date,Year,Month,Customer ID,CLTV Monetary Value,Discount
2022-01-31,2022,1,CUST_0931,79.51856184163846,6.422232512020094
2022-01-31,2022,1,CUST_0173,331.0711474288106,27.835721721028754
2022-01-31,2022,1,CUST_0004,55.15559707632718,5.053557441294418
2022-01-31,2022,1,CUST_0624,314.266873905166,25.280924736875537
2022-01-31,2022,1,CUST_0519,71.2505103977727,7.113261282495553
2022-01-31,2022,1,CUST_0282,135.77665179627002,10.859883922247382
2022-01-31,2022,1,CUST_0246,141.47619602549008,10.901151896216295
2022-01-31,2022,1,CUST_0391,1725.0068283484636,130.1844778337379
2022-01-31,2022,1,CUST_0807,301.4108261092441,21.944130455486253
2022-01-31,2022,1,CUST_0310,541.4311167313829,54.307514199770445
2022-01-31,2022,1,CUST_0928,475.2572985531858,46.72102405390483
2022-01-31,2022,1,CUST_0258,142.73292610918773,14.456687421818243
2022-01-31,2022,1,CUST_0867,59.45287445202778,6.319780807914519
2022-01-31,2022,1,CUST_0191,471.92002652190746,42.51171358627629
2022-01-31,2022,1,CUST_0586,112.34576942381294,10.223746710142628
2022-01-31,2022,1,CUST_0130,153.98251121024475,12.828986047156683
2022-01-31,2022,1,CUST_0585,121.47099823970822,10.808244333668453
2022-01-31,2022,1,CUST_0739,171.15033387040668,16.220357096030366
2022-01-31,2022,1,CUST_0492,2150.7992683419134,196.40027156634204
2022-01-31,2022,1,CUST_0833,486.83375310392364,51.035335374788545
2022-01-31,2022,1,CUST_0934,111.76921624192902,10.026700106034092
2022-01-31,2022,1,CUST_0689,269.14601882116693,23.39815769537408
2022-01-31,2022,1,CUST_0463,250.94474441628893,20.369741946305492
2022-01-31,2022,1,CUST_0502,811.0353695646996,82.11653067910623
2022-01-31,2022,1,CUST_0531,372.6606431029884,28.17288511452083
2022-01-31,2022,1,CUST_0549,8146.363431899375,797.2425252410184
2022-01-31,2022,1,CUST_0066,452.55524854592005,47.94707393355824
2022-01-31,2022,1,CUST_0673,1978.0151049681476,152.50136101255643
2022-01-31,2022,1,CUST_0480,485.72319800716554,44.198553720523805
2022-01-31,2022,1,CUST_0955,477.6982417389651,39.12885600751835
2022-01-31,2022,1,CUST_0617,422.6873670679532,30.995961800225388
2022-01-31,2022,1,CUST_0708,43.002288193208095,4.2933311014618525
2022-01-31,2022,1,CUST_0485,57.880599490253054,5.7135119904576275
2022-01-31,2022,1,CUST_0474,60.41369232915187,4.6939544037429775
2022-01-31,2022,1,CUST_0513,3922.6447602469398,397.17262241519245
2022-01-31,2022,1,CUST_0809,987.9004599612903,87.31309374542263
2022-01-31,2022,1,CUST_0528,866.7692094668756,86.66491025903271
2022-01-31,2022,1,CUST_0600,150.9246546359655,13.615426278761865
2022-01-31,2022,1,CUST_0107,91.71467247948763,9.790984755209761
2022-01-31,2022,1,CUST_0620,2396.7278337802354,219.664568799609
2022-01-31,2022,1,CUST_0796,459.98643243450556,37.21316146076225
2022-01-31,2022,1,CUST_0659,444.23007147017,44.31854408055188
